# Oura Ring Event Export
# Timestamp: Sun Jan 11 23:51:16 GMT+01:00 2026
# Events: 184
#
# Format: index|tag_hex|hex_data
#
130|0x80|API_GREEN_IBI_QUALITY_EVENT|8012028e00004fb5a2d442d239d533d13fd1fa30
131|0x46|API_TEMP_EVENT|460a1f8e0000720ce40ca90a
132|0x47|API_MOTION_EVENT|470a388e0000791ba01b1302
133|0x80|API_GREEN_IBI_QUALITY_EVENT|8012788e00003d37bed7c5d4fa908d9557917a94
134|0x80|API_GREEN_IBI_QUALITY_EVENT|8012888e0000949547914890a895fa504e138215
135|0x80|API_GREEN_IBI_QUALITY_EVENT|80129e8e000061106010643a631d5e0a5d0f611c
136|0x80|API_GREEN_IBI_QUALITY_EVENT|8012e48e0000641a660a5b0c610f600d62096408
137|0x80|API_GREEN_IBI_QUALITY_EVENT|80120e8f00005d195d1f5e1e6709711d701a620f
138|0x80|API_GREEN_IBI_QUALITY_EVENT|8012488f00006419631a600d640d640a620a640a
139|0x80|API_GREEN_IBI_QUALITY_EVENT|8008658f0000650a680e
140|0x45|API_STATE_CHANGE_IND|450c668f000003666561206f6666
141|0x6c|API_FEATURE_SESSION|6c086b8f000002030400
142|0x47|API_MOTION_EVENT|47086c8f000069fb8921
143|0x46|API_TEMP_EVENT|460a779000009c0ce40cc90a
144|0x50|API_ACTIVITY_INFO|5008909000003a1d0c14
145|0x47|API_MOTION_EVENT|4709919000006efb892207
146|0x47|API_MOTION_EVENT|470abc9100006e2da2120501
147|0x6d|API_MEAS_QUALITY_EVENT|6d114b92000000a6ffff9affffb5fffff2ffff
148|0x6d|API_MEAS_QUALITY_EVENT|6d11c592000000e5fffff3ffffffffffafffff
149|0x46|API_TEMP_EVENT|460acf9200003f0c4e0c570a
150|0x47|API_MOTION_EVENT|470ae89200007316b63b0a02
151|0x6d|API_MEAS_QUALITY_EVENT|6d113f93000000c1ffffe6ffffd4ffffa9ffff
152|0x6d|API_MEAS_QUALITY_EVENT|6d11b993000000e3ffffa8ffffe7ffff90ffff
153|0x47|API_MOTION_EVENT|470a14940000785fe9ff0b01
154|0x6d|API_MEAS_QUALITY_EVENT|6d113394000000d2fffff0ffff92ffff32ffff
155|0x6d|API_MEAS_QUALITY_EVENT|6d11ad94000000aeffffa3ffff8effff63ffff
156|0x6d|API_MEAS_QUALITY_EVENT|6d11279500000090fffff8fffffcfffffdffff
157|0x46|API_TEMP_EVENT|460a28950000210c800c570a
158|0x47|API_MOTION_EVENT|470a409500006d04c63f0905
159|0x6d|API_MEAS_QUALITY_EVENT|6d11a195000000fbfffffbffffa6ffff7effff
160|0x6d|API_MEAS_QUALITY_EVENT|6d111b9600000075ffff97ffffacffffb6ffff
161|0x47|API_MOTION_EVENT|470a6c9600007100ae210d05
162|0x6d|API_MEAS_QUALITY_EVENT|6d119596000000dafffff9fffffcffffe2ffff
163|0x6d|API_MEAS_QUALITY_EVENT|6d110e97000000e8ffffc4ffffecfffff6ffff
164|0x46|API_TEMP_EVENT|460a7f970000440c800c980a
165|0x6d|API_MEAS_QUALITY_EVENT|6d118897000000eafffffcfffff8ffffbbffff
166|0x47|API_MOTION_EVENT|4709989700006f56d8df04
167|0x6d|API_MEAS_QUALITY_EVENT|6d110298000000c0ffffeefffff0ffffe8ffff
168|0x6d|API_MEAS_QUALITY_EVENT|6d117c98000000f4fffff0ffffefffffffffff
169|0x6c|API_FEATURE_SESSION|6c089b98000002010400
170|0x45|API_STATE_CHANGE_IND|450e9d98000005687220656e61626c65
171|0x47|API_MOTION_EVENT|4709c4980000706801b708
172|0x80|API_GREEN_IBI_QUALITY_EVENT|8012359900007104730c7109700f710f73087109
