# Oura Ring Event Export
# Events: 1015
# Format: index|tag_hex|event_name|hex_data
208|0x43|API_DEBUG_EVENT|4312dc570c0043686753743b3030303030383163
209|0x79|UNKNOWN_79|7908dd570c00020f0000
210|0x79|UNKNOWN_79|7912de570c00030f802a82001700001c00001900
211|0x79|UNKNOWN_79|7912df570c00030f81004b6800176700fd720027
212|0x79|UNKNOWN_79|7912e0570c00030f820100230100e54f01460f00
213|0x79|UNKNOWN_79|7912e1570c00030f831e0f005201002192006990
214|0x79|UNKNOWN_79|7912e2570c00030f84002c0f00f951010c4e0197
215|0x79|UNKNOWN_79|7912e3570c00030f850500d70600a80600000000
216|0x79|UNKNOWN_79|790de4570c00030f06000000000000
217|0x79|UNKNOWN_79|7908e5570c0002130000
218|0x79|UNKNOWN_79|790de6570c0003130018050000f70f
219|0x79|UNKNOWN_79|7908e7570c0002140000
220|0x43|API_DEBUG_EVENT|430fe8570c00696e64635f737473743b33
221|0x79|UNKNOWN_79|7908e9570c0002170000
222|0x79|UNKNOWN_79|7908ea570c0002180000
223|0x79|UNKNOWN_79|7912eb570c00031880e6040000fb0f3800fc0fc0
224|0x79|UNKNOWN_79|790eec570c000318011004071000fc06
225|0x43|API_DEBUG_EVENT|4312ed570c0074633b313b333130303b32393538
226|0x43|API_DEBUG_EVENT|4312ee570c0074633b323b333135353b32393538
227|0x43|API_DEBUG_EVENT|4312ef570c0074633b333b323530313b32393538
228|0x43|API_DEBUG_EVENT|4312f0570c0074633b343b333031333b32393538
229|0x79|UNKNOWN_79|7908f1570c0002190000
230|0x79|UNKNOWN_79|7912f2570c000319808e0b1c0c530cc509c50bfe
231|0x79|UNKNOWN_79|7908f3570c000319017f
232|0x79|UNKNOWN_79|7908f4570c00021a0000
233|0x79|UNKNOWN_79|7908f5570c00031a0001
234|0x79|UNKNOWN_79|790df6570c000107c1980700000000
235|0x5b|API_BLE_CONNECTION_IND|5b0e0d580c000300f10d5e15ef0c0000
236|0x61|API_MEAS_QUALITY_EVENT|610b29580c0018000000000093
237|0x43|API_DEBUG_EVENT|430e2a580c00626c65737464613b3531
238|0x43|API_DEBUG_EVENT|430c2d580c00696e64635f737463
239|0x43|API_DEBUG_EVENT|430d2e580c00626c65737464613b30
240|0x42|API_TIME_SYNC_IND|420d35580c00695565690000000004
241|0x61|API_MEAS_QUALITY_EVENT|61123d580c00046368675f72703b31303b363732
242|0x43|API_DEBUG_EVENT|430e4d580c00626c65737464613b3135
243|0x43|API_DEBUG_EVENT|430c4e580c00696e64635f737463
244|0x43|API_DEBUG_EVENT|43124f580c00636867763b363734383b35323932
245|0x43|API_DEBUG_EVENT|430f50580c006368675f68733b35383234
246|0x61|API_MEAS_QUALITY_EVENT|61125b580c00046368675f72703b31303b363133
247|0x43|API_DEBUG_EVENT|430e5c580c006368675f72633b303b31
248|0x5b|API_BLE_CONNECTION_IND|5b1066580c00020000000000131800005900
249|0x5b|API_BLE_CONNECTION_IND|5b1167580c0004fb00fb001d00000021000000
250|0x5b|API_BLE_CONNECTION_IND|5b0f68580c0005c400000005000a00ff00
251|0x43|API_DEBUG_EVENT|430e69580c00626c657365636b3b3137
252|0x43|API_DEBUG_EVENT|430f6a580c00626c65703235363b343634
253|0x43|API_DEBUG_EVENT|430c99580c00696e64635f737463
254|0x43|API_DEBUG_EVENT|43129a580c00636867763b363831383b35333036
255|0x43|API_DEBUG_EVENT|430f9b580c006368675f68733b35373430
256|0x43|API_DEBUG_EVENT|4312a5580c0043686753743b3030303030383165
257|0x43|API_DEBUG_EVENT|430da6580c00626174743a20313030
258|0x61|API_MEAS_QUALITY_EVENT|6112a7580c00140364fb0fca0300001a45000052
259|0x61|API_MEAS_QUALITY_EVENT|610fa8580c0021bc08d20d8610e644c755
260|0x43|API_DEBUG_EVENT|430ea9580c007263656c6c3b30353763
261|0x61|API_MEAS_QUALITY_EVENT|6112ab580c00046368675f72703b31313b363732
262|0x43|API_DEBUG_EVENT|430cac580c00696e64635f737463
263|0x43|API_DEBUG_EVENT|4312ad580c00636867763b363734383b35393738
264|0x43|API_DEBUG_EVENT|430fae580c006368675f68733b35393932
265|0x46|API_TEMP_EVENT|460aaf580c00960b1c0ce109
266|0x61|API_MEAS_QUALITY_EVENT|6110c6580c0020140000006464fc0ffb0f01
267|0x61|API_MEAS_QUALITY_EVENT|6111c7580c0027fb0f8e0b8e0bfb0ffb0f0a00
268|0x46|API_TEMP_EVENT|460a055b0c00960b130ce209
269|0x46|API_TEMP_EVENT|460a5d5d0c009e0b1c0cf009
270|0x5b|API_BLE_CONNECTION_IND|5b0eaa5d0c000300f10d5e15ef0c0000
271|0x43|API_DEBUG_EVENT|430db45d0c00626c65737464613b31
272|0x5b|API_BLE_CONNECTION_IND|5b10d45d0c00020000000000131800002a00
273|0x5b|API_BLE_CONNECTION_IND|5b11d55d0c0004fb00fb000000000000000000
274|0x5b|API_BLE_CONNECTION_IND|5b0fd65d0c00055c00000000000a009800
275|0x46|API_TEMP_EVENT|460ab55f0c00a10b1c0ceb09
276|0x46|API_TEMP_EVENT|460a0d620c00a40b1c0cf509
